idx,t_us,red,ir,green,finger,rb_used,flags
1364,43526256,144022,167546,0,1,108,0
1365,43557506,144031,167589,0,1,107,0
1366,43588756,144054,167628,0,1,108,0
1367,43620006,144140,167802,0,1,107,0
1368,43651256,144318,168312,0,1,108,0
1369,43682506,144440,168486,0,1,107,0
1370,43713756,144476,168507,0,1,108,0
1371,43745006,144526,168629,0,1,108,0
1372,43776256,144652,168776,0,1,107,0
1373,43807506,144712,168850,0,1,108,0
1374,43838756,144866,169227,0,1,109,0
1375,43870006,144811,168883,0,1,108,0
1376,43901256,144710,168737,0,1,109,0
1377,43932506,144705,168816,0,1,109,0
1378,43963756,144750,169008,0,1,108,0
1379,43995006,144772,169065,0,1,109,0
1380,44026256,144766,168959,0,1,108,0
1381,44057506,144662,168881,0,1,109,0
1382,44088756,144581,168498,0,1,108,0
1383,44120006,144410,168200,0,1,109,0
1384,44151256,144256,167973,0,1,109,0
1385,44182506,144217,168009,0,1,108,0
1386,44213756,144337,168136,0,1,109,0
1387,44245006,144354,168039,0,1,110,0
1388,44276256,144199,168094,0,1,109,0
1389,44307506,144374,168227,0,1,110,0
1390,44338756,144406,168316,0,1,110,0
1391,44370006,144507,168502,0,1,109,0
1392,44401256,144474,168419,0,1,110,0
1393,44432506,144556,168505,0,1,109,0
1394,44463756,144572,168306,0,1,110,0
1395,44495006,144207,167834,0,1,111,0
1396,44526256,144272,167952,0,1,110,0
1397,44557506,144236,167811,0,1,110,0
1398,44588756,144113,167715,0,1,109,0
1399,44620006,144031,167479,0,1,110,0
1400,44651256,143872,167240,0,1,111,0
1401,44682506,143791,167208,0,1,110,0
1402,44713756,143790,167318,0,1,111,0
1403,44745006,143847,167402,0,1,111,0
1404,44776256,143876,167345,0,1,110,0
1405,44807506,143713,166992,0,1,111,0
1406,44838756,143633,166916,0,1,110,0
1407,44870006,143454,166660,0,1,111,0
1408,44901256,143302,166486,0,1,112,0
1409,44932506,143213,166193,0,1,111,0
1410,44963756,143200,166181,0,1,111,0
1411,44995006,143301,166292,0,1,110,0
1412,45026256,143358,166552,0,1,111,0
1413,45057506,143438,166694,0,1,112,0
1414,45088756,143609,166898,0,1,111,0
1415,45120006,143771,167100,0,1,112,0
1416,45151256,144010,167577,0,1,112,0
1417,45182506,144009,167626,0,1,111,0
1418,45213756,144048,167676,0,1,112,0
1419,45245006,144139,167721,0,1,111,0
1420,45276256,144160,167716,0,1,112,0
1421,45307506,144081,167610,0,1,113,0
1422,45338756,144098,167680,0,1,112,0
1423,45370006,144108,167742,0,1,112,0
1424,45401256,144117,167650,0,1,111,0
1425,45432506,144074,167578,0,1,112,0
1426,45463756,144066,167631,0,1,113,0
1427,45495006,144086,167720,0,1,112,0
1428,45526256,144064,167664,0,1,113,0
1429,45557506,144097,167705,0,1,113,0
1430,45588756,144012,167633,0,1,112,0
1431,45620006,143971,167486,0,1,113,0
1432,45651256,143996,167625,0,1,112,0
1433,45682506,144212,167957,0,1,113,0
1434,45713756,144284,167926,0,1,114,0
1435,45745006,144215,167823,0,1,113,0
1436,45776256,144159,167683,0,1,113,0
1437,45807506,143925,167681,0,1,112,0
1438,45838756,144277,168165,0,1,113,0
1439,45870006,144436,168314,0,1,114,0
1440,45901256,144514,168313,0,1,113,0
1441,45932506,144445,168190,0,1,114,0
1442,45963756,144423,168296,0,1,114,0
1443,45995006,144518,168449,0,1,113,0
1444,46026256,144362,168103,0,1,114,0
1445,46057506,144373,168173,0,1,113,0
1446,46088756,144372,168148,0,1,114,0
1447,46120006,144362,168170,0,1,115,0
1448,46151256,144409,168248,0,1,114,0
1449,46182506,144507,168377,0,1,114,0
1450,46213756,144537,168448,0,1,113,0
1451,46245006,144553,168552,0,1,114,0
